"","data$description"
"627","Bei der Bewerbung um ein Austauschprogramm in Karlsruhe wurde ich diskriminiert, als die Universität sich weigerte, mich wegen meines muslimischen Glaubens auszuwählen. Trotz meiner guten Noten und Empfehlungen wurde ich aus dem Programm ausgeschlossen."
"628","Bei einem Schulausflug nach Bremen wurde ich Opfer von Diskriminierung, als meine Klassenkameraden mich aufgrund meiner Religion ausschlossen. Trotz meiner Versuche, an den Aktivitäten teilzunehmen, wurde ich isoliert und marginalisiert."
"629","Auf einer Zugfahrt nach Stuttgart wurde ich Opfer von Diskriminierung, als Mitreisende mich wegen meines muslimischen Glaubens verbal belästigten. Trotz meiner Versuche, die Beleidigungen zu ignorieren, war ich emotional stark betroffen."
"630","Bei einem Abendessen im Restaurant in Frankfurt wurde ich diskriminiert, als das Personal mir den Service wegen meines Hijabs verweigerte. Sie behaupteten, meine Kleidung verstoße gegen ihre Restaurantpolitik, und baten mich, das Lokal zu verlassen."
"631","Bei der Bewerbung um eine Stelle in Bochum wurde ich diskriminiert, als der Arbeitgeber sich weigerte, meine Bewerbung wegen meines muslimischen Glaubens zu berücksichtigen. Trotz meiner Qualifikationen und Erfahrungen wurde ich aus dem Auswahlprozess ausgeschlossen."
"632","Bei einem Zoobesuch in Erlangen wurde ich Opfer von Diskriminierung, als Sicherheitskräfte mir den Zugang wegen meines Hijabs verwehrten. Sie behaupteten, meine Kleidung sei unangemessen, und baten mich, das Gelände zu verlassen."
"633","Bei der Teilnahme an einer kulturellen Veranstaltung in Erfurt wurde ich diskriminiert, als die Organisatoren mir den Zugang aufgrund meines muslimischen Glaubens verweigerten. Trotz meiner Bemühungen, meine Anwesenheit zu erklären und zu rechtfertigen, wurde ich von der Veranstaltung ausgeschlossen."
"634","Bei der Teilnahme an einer politischen Versammlung in Mönchengladbach wurde ich diskriminiert, als einige Teilnehmer mich von den Diskussionen ausschlossen, weil ich Muslima bin. Trotz meiner intellektuellen Beiträge wurde ich von den Teilnehmern abgelehnt und ausgegrenzt."
"635","Bei einem Treffen mit Freunden in Köln wurde ich diskriminiert, als einige Gäste beleidigende Bemerkungen über meine Religion machten. Trotz meiner Versuche, meinen Glauben zu erklären und zu verteidigen, wurde ich aus der Gruppe ausgeschlossen."
"636","Bei einer Konferenz in Freiburg wurde ich diskriminiert, als einige Referenten mich von den Diskussionen ausschlossen, weil ich Muslima bin. Trotz meiner intellektuellen Beiträge wurde ich von den Teilnehmern abgelehnt und ausgegrenzt."
"637","Bei einem Besuch in einem Café in Siegen wurde ich diskriminiert, als das Personal mir den Service wegen meines Hijabs verweigerte. Sie behaupteten, meine Kleidung verstoße gegen ihre Café-Richtlinien, und baten mich, das Lokal zu verlassen."
"638","Bei einem Zoobesuch in Trier wurde ich Opfer von Diskriminierung, als Sicherheitskräfte mir den Zugang wegen meines Hijabs verwehrten. Sie behaupteten, meine Kleidung sei unangemessen, und baten mich, das Gelände zu verlassen."
"639","Bei einem Arztbesuch in Frankfurt wurde ich aufgrund meiner Religion diskriminiert. Das medizinische Personal machte abfällige Bemerkungen über meinen Glauben und verweigerte mir eine angemessene medizinische Behandlung."
"640","Bei einem Besuch einer Ausstellung in Ingolstadt wurde ich Opfer von Diskriminierung, als die Organisatoren mir den Zugang wegen meines Hijabs verwehrten. Trotz meiner Bemühungen, meine Anwesenheit zu erklären und zu rechtfertigen, wurde ich von der Ausstellung ausgeschlossen."
"641","Beim Besuch eines Kinos in Ulm wurde ich Opfer von Diskriminierung, als das Personal mir den Zugang wegen meines Hijabs verweigerte. Sie behaupteten, meine Kleidung verstoße gegen ihre Kino-Richtlinien, und baten mich, das Gelände zu verlassen."
"642","Bei der Teilnahme an einer politischen Versammlung in Recklinghausen wurde ich diskriminiert, als einige Teilnehmer mich von den Diskussionen ausschlossen, weil ich Muslima bin. Trotz meiner intellektuellen Beiträge wurde ich von den Teilnehmern abgelehnt und ausgegrenzt."
"643","Bei der Bewerbung um eine Stelle in Bonn wurde ich diskriminiert, als der Arbeitgeber sich weigerte, meine Bewerbung wegen meines muslimischen Glaubens zu berücksichtigen. Trotz meiner Qualifikationen und Erfahrungen wurde ich aus dem Auswahlprozess ausgeschlossen."
"644","Während eines Vorstellungsgesprächs in Hamburg wurde ich aufgrund meines muslimischen Nachnamens diskriminiert. Der Personalvermittler machte abfällige Bemerkungen über meine Religion und weigerte sich, meine Bewerbung ernsthaft zu prüfen."
"645","Auf einer Zugfahrt nach Stuttgart wurde ich Opfer von Diskriminierung, als Mitreisende mich wegen meines muslimischen Glaubens verbal belästigten. Trotz meiner Versuche, die Beleidigungen zu ignorieren, war ich emotional stark betroffen."
"646","Bei einem Zoobesuch in Trier wurde ich Opfer von Diskriminierung, als Sicherheitskräfte mir den Zugang wegen meines Hijabs verwehrten. Sie behaupteten, meine Kleidung sei unangemessen, und baten mich, das Gelände zu verlassen."
"647","Beim Sportunterricht in Mannheim wurde ich diskriminiert, als meine Mitspieler mich wegen meines muslimischen Glaubens verbal belästigten. Trotz meiner sportlichen Leistungen wurde ich von der Gruppe ausgeschlossen und ausgegrenzt."
"648","Bei einem Friseurbesuch in Wiesbaden wurde ich diskriminiert, als der Friseur sich weigerte, mich wegen meines muslimischen Glaubens zu bedienen. Trotz meiner Versuche, meine Anwesenheit zu erklären und zu rechtfertigen, wurde ich aus dem Salon ausgeschlossen."
"649","Auf dem Weg zur Universität in München wurde ich mit Diskriminierung konfrontiert, als Studenten mich aufforderten, den Ort wegen meines Hijabs zu verlassen. Sie beleidigten mich und machten abfällige Bemerkungen über mich."
"650","Beim Besuch eines Zoos in Cottbus wurde ich Opfer von Diskriminierung, als das Personal mir den Zugang wegen meines Hijabs verwehrte. Sie behaupteten, meine Kleidung sei unangemessen, und baten mich, das Gelände zu verlassen."
"651","Bei einer friedlichen Kundgebung in Berlin wurde ich aufgrund meines muslimischen Glaubens diskriminiert. Die Demonstranten hinderten mich daran, an der Veranstaltung teilzunehmen, und behandelten mich aufgrund meines Hijabs respektlos."
"652","Bei der Bewerbung um ein Mentorenprogramm in Bremerhaven wurde ich diskriminiert, als die Organisation sich weigerte, mich wegen meines muslimischen Glaubens auszuwählen. Trotz meines Interesses am Programm wurde ich aus dem Auswahlverfahren ausgeschlossen."
"653","Bei einem Besuch im Museum in Essen wurde ich Opfer von Diskriminierung, als das Sicherheitspersonal mir den Zugang wegen meines Hijabs verwehrte. Sie behaupteten, meine Kleidung sei unangemessen, und baten mich, das Gelände zu verlassen."
"654","Beim Einkaufen in Chemnitz wurde ich Opfer von Diskriminierung, als Sicherheitskräfte mir den Zugang wegen meines Hijabs verwehrten. Sie behaupteten, meine Kleidung sei unangemessen, und baten mich, das Gelände zu verlassen."
"655","Auf einer Zugfahrt nach Stuttgart wurde ich Opfer von Diskriminierung, als Mitreisende mich wegen meines muslimischen Glaubens verbal belästigten. Trotz meiner Versuche, die Beleidigungen zu ignorieren, war ich emotional stark betroffen."
"656","Beim Sportunterricht in Mannheim wurde ich diskriminiert, als meine Mitspieler mich wegen meines muslimischen Glaubens verbal belästigten. Trotz meiner sportlichen Leistungen wurde ich von der Gruppe ausgeschlossen und ausgegrenzt."
"657","Bei einem Abendessen im Restaurant in Würzburg wurde ich diskriminiert, als das Personal mir den Service wegen meines Hijabs verweigerte. Sie behaupteten, meine Kleidung verstoße gegen ihre Restaurantpolitik, und baten mich, das Lokal zu verlassen."
"658","Beim Einkaufen in Aachen wurde ich Opfer von Diskriminierung, als Verkäufer mich wegen meiner Religion verbal belästigten. Trotz meiner Versuche, die Beleidigungen zu ignorieren, war ich emotional stark betroffen."
"659","Bei der Bewerbung um ein Mentorenprogramm in Bremerhaven wurde ich diskriminiert, als die Organisation sich weigerte, mich wegen meines muslimischen Glaubens auszuwählen. Trotz meines Interesses am Programm wurde ich aus dem Auswahlverfahren ausgeschlossen."
"660","Bei der Teilnahme an einer Konferenz in Paderborn wurde ich diskriminiert, als einige Teilnehmer mich von den Diskussionen ausschlossen, weil ich Muslima bin. Trotz meiner intellektuellen Beiträge wurde ich von den Teilnehmern abgelehnt und ausgegrenzt."
"661","Bei der Bewerbung um eine Stelle in Dresden wurde ich diskriminiert, als der Arbeitgeber sich weigerte, meine Bewerbung wegen meines muslimischen Glaubens zu berücksichtigen. Trotz meiner Qualifikationen und Erfahrungen wurde ich aus dem Auswahlverfahren ausgeschlossen."
"662","Bei der Bewerbung um einen Studienplatz in Gelsenkirchen wurde ich diskriminiert, als die Universität sich weigerte, mich wegen meines muslimischen Glaubens auszuwählen. Trotz meiner guten Noten und Empfehlungen wurde ich aus dem Auswahlprozess ausgeschlossen."
"663","Beim Besuch einer Ausstellung in Magdeburg wurde ich Opfer von Diskriminierung, als die Organisatoren mir den Zugang wegen meines muslimischen Glaubens verwehrten. Trotz meiner Bemühungen, meine Anwesenheit zu erklären und zu rechtfertigen, wurde ich von der Ausstellung ausgeschlossen."
"664","Beim Besuch eines Fitnessstudios in Halle wurde ich diskriminiert, als das Personal mir den Zugang wegen meines Hijabs verweigerte. Sie behaupteten, meine Kleidung verstoße gegen die Regeln des Fitnessstudios, und baten mich, das Gelände zu verlassen."
"665","Bei einem Einkaufsbummel in Regensburg wurde ich Opfer von Diskriminierung, als Verkäufer mich wegen meiner Religion verbal belästigten. Trotz meiner Versuche, die Beleidigungen zu ignorieren, war ich emotional stark betroffen."
"666","Bei einem Besuch im Museum in Essen wurde ich Opfer von Diskriminierung, als das Sicherheitspersonal mir den Zugang wegen meines Hijabs verwehrte. Sie behaupteten, meine Kleidung sei unangemessen, und baten mich, das Gelände zu verlassen."
"667","Bei einer politischen Veranstaltung in Bonn wurde ich diskriminiert, als einige Teilnehmer mich aus der Debatte ausschlossen, weil ich Muslima bin. Trotz meiner Versuche, meine Meinungen zu äußern, wurde ich ignoriert und marginalisiert."
"668","Beim Besuch eines Cafés in Nürnberg wurde ich Opfer von Diskriminierung, als das Personal mir den Service wegen meines Hijabs verweigerte. Sie behaupteten, meine Kleidung verstoße gegen ihre Sicherheitsrichtlinien, und baten mich, das Lokal zu verlassen."
"669","Bei der Bewerbung um ein Mentorenprogramm in Mönchengladbach wurde ich diskriminiert, als die Organisation sich weigerte, mich wegen meines muslimischen Glaubens auszuwählen. Trotz meines Interesses am Programm wurde ich aus dem Auswahlverfahren ausgeschlossen."
"670","Bei der Bewerbung um einen Studienplatz in Gelsenkirchen wurde ich diskriminiert, als die Universität sich weigerte, mich wegen meines muslimischen Glaubens auszuwählen. Trotz meiner guten Noten und Empfehlungen wurde ich aus dem Auswahlprozess ausgeschlossen."
"671","Bei einem Museumsbesuch in Hannover wurde ich Opfer von Diskriminierung, als das Sicherheitspersonal mir den Zugang wegen meines Hijabs verweigerte. Sie behaupteten, meine Kleidung sei unangemessen und forderten mich auf, das Gelände zu verlassen."
"672","Bei einer Arbeitsbesprechung in Kiel wurde ich Opfer von Diskriminierung, als meine Kollegen mich aus den Gesprächen ausschlossen, weil ich Muslima bin. Trotz meiner beruflichen Beiträge wurde ich vom Team ignoriert und marginalisiert."
"673","Bei einem Arztbesuch in Frankfurt wurde ich aufgrund meiner Religion diskriminiert. Das medizinische Personal machte abfällige Bemerkungen über meinen Glauben und verweigerte mir eine angemessene medizinische Behandlung."
"674","Bei einer Arbeitsbesprechung in Kiel wurde ich Opfer von Diskriminierung, als meine Kollegen mich aus den Gesprächen ausschlossen, weil ich Muslima bin. Trotz meiner beruflichen Beiträge wurde ich vom Team ignoriert und marginalisiert."
"675","Bei einem Besuch im Museum in Trier wurde ich Opfer von Diskriminierung, als das Sicherheitspersonal mir den Zugang wegen meines Hijabs verwehrte. Sie behaupteten, meine Kleidung sei unangemessen, und baten mich, das Gelände zu verlassen."
"676","Bei einem Besuch einer Ausstellung in Ingolstadt wurde ich Opfer von Diskriminierung, als die Organisatoren mir den Zugang wegen meines Hijabs verwehrten. Trotz meiner Bemühungen, meine Anwesenheit zu erklären und zu rechtfertigen, wurde ich von der Ausstellung ausgeschlossen."
"677","Bei der Teilnahme an einer Konferenz in Würzburg wurde ich diskriminiert, als einige Teilnehmer mich von den Diskussionen ausschlossen, weil ich Muslima bin. Trotz meiner intellektuellen Beiträge wurde ich von den Teilnehmern abgelehnt und ausgegrenzt."
"678","Bei einem Besuch im Museum in Trier wurde ich Opfer von Diskriminierung, als das Sicherheitspersonal mir den Zugang wegen meines Hijabs verwehrte. Sie behaupteten, meine Kleidung sei unangemessen, und baten mich, das Gelände zu verlassen."
"679","Bei einem Arztbesuch in Frankfurt wurde ich aufgrund meiner Religion diskriminiert. Das medizinische Personal machte abfällige Bemerkungen über meinen Glauben und verweigerte mir eine angemessene medizinische Behandlung."
"680","Beim Besuch einer Ausstellung in Bonn wurde ich Opfer von Diskriminierung, als die Organisatoren mir den Zugang wegen meines muslimischen Glaubens verwehrten. Trotz meiner Bemühungen, meine Anwesenheit zu erklären und zu rechtfertigen, wurde ich von der Ausstellung ausgeschlossen."
"681","Beim Einkaufen in Aachen wurde ich Opfer von Diskriminierung, als Verkäufer mich wegen meiner Religion verbal belästigten. Trotz meiner Versuche, die Beleidigungen zu ignorieren, war ich emotional stark betroffen."
"682","Bei einer friedlichen Kundgebung in Berlin wurde ich aufgrund meines muslimischen Glaubens diskriminiert. Die Demonstranten hinderten mich daran, an der Veranstaltung teilzunehmen, und behandelten mich aufgrund meines Hijabs respektlos."
"683","Bei einem Besuch im Museum in Essen wurde ich Opfer von Diskriminierung, als das Sicherheitspersonal mir den Zugang wegen meines Hijabs verwehrte. Sie behaupteten, meine Kleidung sei unangemessen, und baten mich, das Gelände zu verlassen."
"684","Bei der Bewerbung um ein Austauschprogramm in Essen wurde ich diskriminiert, als die Universität sich weigerte, mich wegen meines muslimischen Glaubens auszuwählen. Trotz meiner guten Noten und Empfehlungen wurde ich aus dem Programm ausgeschlossen."
"685","Beim Besuch einer Ausstellung in Freiburg wurde ich Opfer von Diskriminierung, als die Organisatoren mir den Zugang wegen meines muslimischen Glaubens verwehrten. Trotz meiner Bemühungen, meine Anwesenheit zu erklären und zu rechtfertigen, wurde ich von der Ausstellung ausgeschlossen."
"686","Beim Besuch eines Konzerts in Oberhausen wurde ich diskriminiert, als Sicherheitskräfte mir den Zugang wegen meines muslimischen Glaubens verwehrten. Trotz meiner Versuche, meine Anwesenheit zu erklären und zu rechtfertigen, wurde ich vom Konzert ausgeschlossen."
"687","Auf dem Weg zur Universität in München wurde ich mit Diskriminierung konfrontiert, als Studenten mich aufforderten, den Ort wegen meines Hijabs zu verlassen. Sie beleidigten mich und machten abfällige Bemerkungen über mich."
